997011533548805171 597   $$aארכיון סילביה דוראן, המופקד בארכיון המחול הישראלי בבית אריאלה, זמין דיגיטלית במסגרת שיתוף הפעולה בין תכנית "ציוני דרך" במשרד ירושלים ומורשת, מחלקת היודאיקה בספריית אוניברסיטת הרווארד, להקת מחול בת-שבע והספרייה הלאומית של ישראל.$$aThe Silvia Duran Archive, deposited at The Israeli Dance Archive in Beit Ariela, can now be accessed online as part of a collaborative initiative between the Israel Ministry of Jerusalem and Heritage’s Landmarks Program, the Harvard Library Judaica Division, Batsheva Dance Company and The National Library of Israel.
997011533548805171 6102  $$aאל על$$9heb
997011533548805171 650 7 $$aDance$$zIsrael$$9lat$$2NLI
997011533548805171 655 7 $$amixed materials$$2aat$$0http://vocab.getty.edu/aat/300015635
997011533548805171 655 7 $$aevent photograph$$2local
997011533548805171 655 7 $$aphotographs$$2aat$$0http://vocab.getty.edu/aat/300046300
997011533548805171 655 7 $$afamily photograph$$2local
997011533548805171 655 7 $$aportraits$$2aat$$0http://vocab.getty.edu/aat/30001563
997011533548805171 7102  $$aהספרייה והארכיון הישראלי למחול בבית אריאלה$$9heb$$eבעלים נוכחיים
997011533548805171 7102  $$aDelta Studio$$9lat$$ephotographer
997011533548805171 7102  $$aE. Congia Photo Studio$$9lat$$ephotographer
997011533548805171 77318 $$tילדות, נעורים ותחילת הדרך המקצועית בדרום אפריקה$$w997011533548905171
997011533548805171 903   $$aStaff only$$b000000018
997011533548805171 906   $$aVIS
997011533548805171 921   $$aFAE 202206
997011533548805171 939   $$aאיסור העתקה$$uhttp://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx
997011533548805171 9421  $$aהספרייה והארכיון הישראלי למחול בבית אריאלה$$9heb
997011533548805171 948   $$aNNL
997011533548805171 952   $$aCopyright status not determined; No contract$$bNo copyright analysis$$cYael Gherman 20220816$$dללא ניתוח מצב זכויות$$gNot all creators are cataloged; $$fאין מגבלת פרטיות
997011533548805171 999   $$bNOULI
997011533548805171 999   $$bNOOCLC
997011533548805171 999   $$aARCHIVE
997011533548805171 999   $$aPHOTOGRAPH
997011533548705171 LDR   00000npd#a22########4500
997011533548705171 001   997011533548705171
997011533548705171 008   ######k19601961sa#xx###############heb####d
997011533548705171 040   $$bheb$$erda
997011533548705171 044   $$asa
997011533548705171 093   $$cPSiDu-001-001-002$$dארכיון סילביה דוראן$$eSilvia Duran Archive
997011533548705171 24500 $$aתצלומים - פורטרטים בבית המשפחה
997011533548705171 260   $$g[בערך 1960-1961]$$c1960-1961$$e[דרום אפריקה]
997011533548705171 300   $$a130$$fמעטפה ובה שקופיות
997011533548705171 336   $$atext$$btxt$$2rdacontent
997011533548705171 336   $$astill image$$bsti$$2rdacontent
997011533548705171 337   $$acomputer$$bc$$2rdamedia
997011533548705171 338   $$aonline resource$$bcr$$2rdacarrier
997011533548705171 351   $$cFile Record
997011533548705171 500   $$aמספר מיכל: 1; קוד תיק ארכיון: A002; הערות: שתיים מהשקופיות בתיק זה נגישות גם כתצלומים בתיק 66296; ברקוד: 65801;
997011533548705171 5202  $$aבתיק: שקופיות ובהן פורטרטים של סילביה דוראן כנערה בבית הוריה ביוהנסבורג. דוראן מתועדת לצד הפסנתר, לבושה בבגדי מחול ספרדי ולצד בני משפחתה. על גבי חלק מהשקופיות תיאורים בכתב ידה של דוראן
997011533548705171 534   $$pמנשא והפורמט הפיזי של הפריט המקורי.$$eסרט צילום--שקופית
997011533548705171 590   $$aמסלולי דיגיטציה: סורק נגטיבים/שקופיות;מספר קבצים מוערך: 55.0;
997011533548705171 590   $$asponsor: Batsheva Dance Company
997011533548705171 590   $$aהערה לדיגיטציה: יש לסרוק את השקופיות פעמיים: פעם אחת בסורק שקופיות ופעם אחת בצילום חד-צדדי כולל המסגרות, כך שיופיעו ההסברים שרשומים עליהן בכתב יד
997011533548705171 590   $$aVisual art ready for copyright analysis
997011533548705171 590   $$asponsor: Jerusalem and Heritage
997011533548705171 590   $$asponsor: Landmarks
997011533548705171 590   $$asponsor: The Judaica collection at the Harvard University Library
997011533548705171 597   $$aארכיון סילביה דוראן, המופקד בארכיון המחול הישראלי בבית אריאלה, זמין דיגיטלית במסגרת שיתוף הפעולה בין תכנית "ציוני דרך" במשרד ירושלים ומורשת, מחלקת היודאיקה בספריית אוניברסיטת הרווארד, להקת מחול בת-שבע והספרייה הלאומית של ישראל.$$aThe Silvia Duran Archive, deposited at The Israeli Dance Archive in Beit Ariela, can now be accessed online as part of a collaborative initiative between the Israel Ministry of Jerusalem and Heritage’s Landmarks Program, the Harvard Library Judaica Division, Batsheva Dance Company and The National Library of Israel.
997011533548705171 6001  $$aדוראן, סילביה$$9heb
997011533548705171 6102  $$aKodak$$9lat
997011533548705171 650 7 $$aDance$$zIsrael$$9lat$$2NLI
997011533548705171 655 7 $$aportraits$$2aat$$0http://vocab.getty.edu/aat/30001563
997011533548705171 655 7 $$afamily photograph$$2local
997011533548705171 655 7 $$amixed materials$$2aat$$0http://vocab.getty.edu/aat/300015635
997011533548705171 655 7 $$aphotographs$$2aat$$0http://vocab.getty.edu/aat/300046300
997011533548705171 7102  $$aהספרייה והארכיון הישראלי למחול בבית אריאלה$$9heb$$eבעלים נוכחיים
997011533548705171 77318 $$tילדות, נעורים ותחילת הדרך המקצועית בדרום אפריקה$$w997011533548905171
997011533548705171 903   $$aStaff only$$b000000018
997011533548705171 906   $$aVIS
997011533548705171 921   $$aFAE 202206
997011533548705171 939   $$aאיסור העתקה$$uhttp://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx
997011533548705171 9421  $$aהספרייה והארכיון הישראלי למחול בבית אריאלה$$9heb
997011533548705171 948   $$aNNL
997011533548705171 952   $$aCopyright status not determined; No contract$$bNo copyright analysis$$cYael Gherman 20220816$$dללא ניתוח מצב זכויות$$gCreator undetermined: צלם חו"ל$$fאין מגבלת פרטיות
997011533548705171 999   $$bNOULI
997011533548705171 999   $$bNOOCLC
997011533548705171 999   $$aARCHIVE
997011533548705171 999   $$aPHOTOGRAPH
997011533548605171 LDR   00000npd#a22########4500
997011533548605171 001   997011533548605171
997011533548605171 008   ######k19601964sa#xx###############eng####d
997011533548605171 040   $$bheb$$erda
997011533548605171 044   $$asa
997011533548605171 093   $$cPSiDu-001-001-003$$dארכיון סילביה דוראן$$eSilvia Duran Archive
997011533548605171 1102  $$aMaurice Photographer$$9lat$$ephotographer
997011533548605171 24510 $$aתצלומים - פורטרטים ביתיים ומקצועיים
997011533548605171 260   $$g[ככל הנראה 1960-1964]$$c1960-1964$$e[דרום אפריקה]
